"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"s__Methanobrevibacter_sp_AbM4","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter_sp_AbM4"
"s__Methanosphaera_sp_SHI1033","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera_sp_SHI1033"
"s__Methanosphaera_stadtmanae","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera_stadtmanae"
"s__Candidatus_Methanomethylophilus_sp_1R26","Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Candidatus_Methanomethylophilus","Candidatus_Methanomethylophilus_sp_1R26"
"s__Candidatus_Methanomassiliicoccus_intestinalis","Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","Candidatus_Methanomassiliicoccus_intestinalis"
"s__Actinobaculum_massiliense","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum_massiliense"
"s__Actinobaculum_sp_oral_taxon_183","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum_sp_oral_taxon_183"
"s__Actinomyces_cardiffensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_cardiffensis"
"s__Actinomyces_europaeus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_europaeus"
"s__Actinomyces_georgiae","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_georgiae"
"s__Actinomyces_graevenitzii","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_graevenitzii"
"s__Actinomyces_hongkongensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_hongkongensis"
"s__Actinomyces_johnsonii","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_johnsonii"
"s__Actinomyces_massiliensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_massiliensis"
"s__Actinomyces_meyeri","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_meyeri"
"s__Actinomyces_naeslundii","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_naeslundii"
"s__Actinomyces_odontolyticus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_odontolyticus"
"s__Actinomyces_oris","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_oris"
"s__Actinomyces_radicidentis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_radicidentis"
"s__Actinomyces_sp_HMSC035G02","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_HMSC035G02"
"s__Actinomyces_sp_HPA0247","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_HPA0247"
"s__Actinomyces_sp_ICM47","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_ICM47"
"s__Actinomyces_sp_S6_Spd3","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_S6_Spd3"
"s__Actinomyces_sp_oral_taxon_170","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_oral_taxon_170"
"s__Actinomyces_sp_oral_taxon_180","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_oral_taxon_180"
"s__Actinomyces_sp_oral_taxon_181","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_oral_taxon_181"
"s__Actinomyces_sp_oral_taxon_414","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_oral_taxon_414"
"s__Actinomyces_sp_oral_taxon_448","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_oral_taxon_448"
"s__Actinomyces_sp_oral_taxon_897","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_oral_taxon_897"
"s__Actinomyces_turicensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_turicensis"
"s__Actinomyces_urogenitalis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_urogenitalis"
"s__Actinomyces_viscosus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_viscosus"
"s__Actinotignum_schaalii","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinotignum","Actinotignum_schaalii"
"s__Actinotignum_timonense","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinotignum","Actinotignum_timonense"
"s__Varibaculum_cambriense","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","Varibaculum_cambriense"
"s__Alloscardovia_omnicolens","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia_omnicolens"
