sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SRR5935795,SRR5935795,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935795_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935795_2.fastq.gz,
SRR5935796,SRR5935796,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935796_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935796_2.fastq.gz,
SRR5935797,SRR5935797,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935797_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935797_2.fastq.gz,
SRR5935798,SRR5935798,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935798_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935798_2.fastq.gz,
SRR5935799,SRR5935799,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935799_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935799_2.fastq.gz,
SRR5935800,SRR5935800,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935800_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935800_2.fastq.gz,
SRR5935801,SRR5935801,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935801_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935801_2.fastq.gz,
SRR5935802,SRR5935802,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935802_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935802_2.fastq.gz,
SRR5935803,SRR5935803,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935803_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935803_2.fastq.gz,
SRR5935804,SRR5935804,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935804_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935804_2.fastq.gz,
SRR5935805,SRR5935805,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935805_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935805_2.fastq.gz,
SRR5935806,SRR5935806,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935806_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935806_2.fastq.gz,
SRR5935807,SRR5935807,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935807_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935807_2.fastq.gz,
SRR5935808,SRR5935808,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935808_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935808_2.fastq.gz,
SRR5935809,SRR5935809,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935809_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935809_2.fastq.gz,
SRR5935810,SRR5935810,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935810_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935810_2.fastq.gz,
SRR5935811,SRR5935811,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935811_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935811_2.fastq.gz,
SRR5935812,SRR5935812,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935812_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935812_2.fastq.gz,
SRR5935813,SRR5935813,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935813_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935813_2.fastq.gz,
SRR5935814,SRR5935814,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935814_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935814_2.fastq.gz,
SRR5935815,SRR5935815,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935815_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935815_2.fastq.gz,
SRR5935816,SRR5935816,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935816_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935816_2.fastq.gz,
SRR5935817,SRR5935817,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935817_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935817_2.fastq.gz,
SRR5935818,SRR5935818,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935818_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935818_2.fastq.gz,
SRR5935819,SRR5935819,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935819_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935819_2.fastq.gz,
SRR5935820,SRR5935820,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935820_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935820_2.fastq.gz,
SRR5935821,SRR5935821,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935821_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935821_2.fastq.gz,
SRR5935822,SRR5935822,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935822_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935822_2.fastq.gz,
SRR5935823,SRR5935823,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935823_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935823_2.fastq.gz,
SRR5935824,SRR5935824,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935824_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935824_2.fastq.gz,
SRR5935825,SRR5935825,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935825_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935825_2.fastq.gz,
SRR5935826,SRR5935826,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935826_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935826_2.fastq.gz,
SRR5935827,SRR5935827,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935827_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935827_2.fastq.gz,
SRR5935828,SRR5935828,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935828_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935828_2.fastq.gz,
SRR5935829,SRR5935829,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935829_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935829_2.fastq.gz,
SRR5935830,SRR5935830,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935830_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935830_2.fastq.gz,
SRR5935831,SRR5935831,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935831_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935831_2.fastq.gz,
