sample,run,instrument,fastq_1,fastq_2
SRR5935797,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935797_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935797_2.fastq.gz
SRR5935798,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935798_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935798_2.fastq.gz
SRR5935799,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935799_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935799_2.fastq.gz
SRR5935800,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935800_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935800_2.fastq.gz
SRR5935801,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935801_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935801_2.fastq.gz
SRR5935802,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935802_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935802_2.fastq.gz
SRR5935803,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935803_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935803_2.fastq.gz
SRR5935804,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935804_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935804_2.fastq.gz
SRR5935805,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935805_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935805_2.fastq.gz
SRR5935806,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935806_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935806_2.fastq.gz
SRR5935807,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935807_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935807_2.fastq.gz
SRR5935808,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935808_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935808_2.fastq.gz
SRR5935809,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935809_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935809_2.fastq.gz
SRR5935810,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935810_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935810_2.fastq.gz
SRR5935811,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935811_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935811_2.fastq.gz
SRR5935812,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935812_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935812_2.fastq.gz
SRR5935813,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935813_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935813_2.fastq.gz
SRR5935814,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935814_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935814_2.fastq.gz
